mfcc_mean_0,mfcc_std_0,mfcc_mean_1,mfcc_std_1,mfcc_mean_2,mfcc_std_2,mfcc_mean_3,mfcc_std_3,mfcc_mean_4,mfcc_std_4,mfcc_mean_5,mfcc_std_5,mfcc_mean_6,mfcc_std_6,mfcc_mean_7,mfcc_std_7,mfcc_mean_8,mfcc_std_8,mfcc_mean_9,mfcc_std_9,mfcc_mean_10,mfcc_std_10,mfcc_mean_11,mfcc_std_11,mfcc_mean_12,mfcc_std_12,delta_mean_0,delta_std_0,delta_mean_1,delta_std_1,delta_mean_2,delta_std_2,delta_mean_3,delta_std_3,delta_mean_4,delta_std_4,delta_mean_5,delta_std_5,delta_mean_6,delta_std_6,delta_mean_7,delta_std_7,delta_mean_8,delta_std_8,delta_mean_9,delta_std_9,delta_mean_10,delta_std_10,delta_mean_11,delta_std_11,delta_mean_12,delta_std_12,delta2_mean_0,delta2_std_0,delta2_mean_1,delta2_std_1,delta2_mean_2,delta2_std_2,delta2_mean_3,delta2_std_3,delta2_mean_4,delta2_std_4,delta2_mean_5,delta2_std_5,delta2_mean_6,delta2_std_6,delta2_mean_7,delta2_std_7,delta2_mean_8,delta2_std_8,delta2_mean_9,delta2_std_9,delta2_mean_10,delta2_std_10,delta2_mean_11,delta2_std_11,delta2_mean_12,delta2_std_12,zcr_mean,zcr_std,centroid_mean,centroid_std,chroma_mean_0,chroma_std_0,chroma_mean_1,chroma_std_1,chroma_mean_2,chroma_std_2,chroma_mean_3,chroma_std_3,chroma_mean_4,chroma_std_4,chroma_mean_5,chroma_std_5,chroma_mean_6,chroma_std_6,chroma_mean_7,chroma_std_7,chroma_mean_8,chroma_std_8,chroma_mean_9,chroma_std_9,chroma_mean_10,chroma_std_10,chroma_mean_11,chroma_std_11,contrast_mean_0,contrast_std_0,contrast_mean_1,contrast_std_1,contrast_mean_2,contrast_std_2,contrast_mean_3,contrast_std_3,contrast_mean_4,contrast_std_4,contrast_mean_5,contrast_std_5,contrast_mean_6,contrast_std_6,rms_mean,rms_std,accent,file
-185.96512,50.960438,73.402405,31.576448,25.411339,18.158485,39.823063,20.2375,-3.6336358,16.895428,0.17240217,13.378946,3.3923614,7.768055,-2.965713,9.266948,-9.197947,10.01912,-1.8052895,7.3323135,-4.613003,6.9052696,-0.53163284,8.248311,-3.4116437,5.9225974,-0.070388384,10.016818,-0.0050977455,6.1260962,0.0046404195,3.3933036,-0.01742308,3.868184,0.00069768087,3.4455097,-0.0046303165,2.346905,-0.0014999115,1.4174088,0.00035452927,1.6881707,-0.0026231452,1.8955122,0.0025047292,1.3550394,0.0007222237,1.2832171,-0.005402939,1.5673774,0.006695843,1.1306276,-0.008818918,5.397141,0.0034875467,3.802489,0.00026105074,2.0464091,0.0019357774,2.0042958,-0.0039296728,1.7432724,-0.002646209,1.4026579,0.00021807087,0.9740226,-0.00048000028,0.98962843,-0.00014731432,1.0864161,-0.0010381324,0.869027,-0.0012640344,0.89490443,-0.0011064024,0.89256495,-0.0046414644,0.76072806,0.10589758532723434,0.10964923918515126,1774.7285533249424,861.0342254295317,0.42037845,0.33798757,0.328738,0.31319275,0.24451573,0.27163106,0.22478901,0.26356485,0.25582236,0.29135707,0.30712685,0.33528057,0.34448516,0.36412278,0.3125095,0.33546078,0.32065257,0.31223205,0.42549983,0.35410088,0.5272754,0.36593077,0.4785169,0.3339096,17.319684439833495,5.193619385928907,19.286675871185004,7.20844797354784,19.73820527804154,5.929725807613949,16.935166905252377,4.496002524922438,16.687844304243498,3.542513162828712,16.62694468747867,2.734683614723422,52.0311516272029,2.9649571756534607,0.13693789,0.10932179,Arabic English,arabic1.mp3
-277.2856,103.40153,91.5025,50.467014,3.5223525,37.841057,33.12568,28.218756,9.8204975,20.54256,-1.1629499,17.08714,2.6766436,15.460589,-17.048788,18.61939,-8.816578,14.867923,4.839348,12.588281,-7.8372025,11.931629,6.2012825,7.7419896,-2.401874,10.038939,-0.0042379512,18.104532,-0.005654537,10.168598,-0.004727214,7.922371,-0.0034244845,5.1562977,-0.001997319,3.9523404,-0.0007066546,3.508972,0.00019456598,2.849364,0.0005683357,3.2922814,0.0005195867,2.3340514,0.0003499837,2.394203,0.00030852758,2.123991,0.0003937335,1.4771196,0.00044442413,1.8425349,0.020734448,10.007539,0.026971756,6.146165,0.021015422,4.8364706,0.014005628,2.7866185,0.0083408225,2.184125,0.005047451,2.0191982,0.0037041067,1.5931872,0.0032428743,2.0014088,0.0028154426,1.383249,0.0021570306,1.5689765,0.0014376853,1.2480699,0.0009071548,1.1372856,0.0006258539,1.0397493,0.11253454106604992,0.10934593381483826,1633.6703096922836,955.025872624188,0.4392699,0.33444843,0.4377029,0.3271113,0.3578236,0.2897726,0.3466565,0.31024593,0.34626538,0.3024903,0.37689665,0.3114842,0.41611463,0.3331809,0.46593267,0.3365978,0.46522424,0.30739024,0.4619459,0.33148235,0.4441498,0.35862014,0.4415109,0.37161177,18.646253616815322,6.377139376816501,16.011844303396636,5.804496641839625,20.79331725732509,6.812993278707895,17.603904952907463,4.6346770799426755,17.432774713712796,3.78626319735833,19.648886608497836,5.91142137548322,51.80697965324672,4.351028325911623,0.06813849,0.07026188,Arabic English,arabic10.mp3
-262.32596,84.56764,83.62193,50.943115,6.5207014,26.525774,0.94281864,24.534336,-19.574402,20.102947,-14.884486,16.056353,-17.035654,11.906996,-12.812115,11.349653,-14.829547,12.399489,-4.7719193,7.5760074,-14.983598,8.379326,-9.618586,7.5852084,-9.201561,6.687846,-0.1231843,13.512445,-0.03961372,9.588449,-0.0074682157,5.2299147,-0.005188118,4.693117,8.504376e-05,4.037893,-0.006085394,2.6436589,0.009409191,1.9855658,0.008565557,2.0024886,0.011940276,2.218126,0.0059985993,1.4014897,0.0072370665,1.411767,0.0035311144,1.4438891,0.007888466,1.2472667,-0.012097831,8.112057,0.0014924983,6.127616,-3.844182e-05,3.5643744,0.00086034054,2.7866223,0.0024204864,2.7026963,-0.0018365821,1.772431,0.0009059037,1.405186,0.0021980386,1.333591,-0.0011107814,1.3133339,-0.00038551292,1.0124131,-0.0005736163,0.9312978,0.0009172644,0.9982316,0.0009147165,0.9432852,0.17737519156449894,0.12029611738397673,2004.2486954470799,1123.1874121375909,0.3836743,0.33306882,0.3125143,0.29281425,0.3401473,0.31581932,0.35416,0.32977536,0.35969195,0.2909861,0.42689374,0.31140107,0.42850882,0.31442457,0.4555862,0.3197488,0.46478343,0.32816684,0.44551042,0.32582447,0.40793672,0.32840768,0.38948843,0.32918775,25.061409528079782,6.126953282055744,15.14791497214751,5.4682537565004905,17.50320669942705,5.835063834705528,17.229777237707765,4.678363725509758,16.492599789705256,3.4329028450790875,16.09392463914626,2.565872601483929,51.91681312068631,3.9081061359454727,0.07208548,0.071883105,Arabic English,arabic100.mp3
-258.72787,99.443695,70.759445,51.111088,12.306586,29.61461,37.38549,28.813297,-11.383186,18.538681,-11.308743,15.941108,-18.007145,15.501426,-11.644006,12.804098,-18.473969,10.712966,-19.062326,11.262797,-9.584014,9.001298,-12.887242,6.8920994,-10.477968,8.246465,0.09290564,15.755495,0.031600654,10.674814,-0.012543256,5.9733005,0.0028595857,4.9783626,-0.0069139125,3.7248514,-0.0038517911,3.3347878,-0.0044924044,2.9407442,-0.003422025,2.302372,-0.00407055,1.911298,0.004794012,1.9449148,0.002717022,1.7355938,0.0025535184,1.2920843,0.009018796,1.5442929,-0.015309379,8.158333,-0.00052391685,6.193457,0.0061914814,3.8700633,0.004319984,2.8609252,0.0033742313,2.3877118,0.00407356,1.9182442,0.003511355,1.6711347,0.0008607175,1.3472215,0.00035976194,1.1523696,0.00044173695,1.241956,0.0006382962,1.0725292,0.002414347,0.8488145,0.0029527796,0.916086,0.15051672642358171,0.12830300978518516,1996.5259683266945,1021.394364466152,0.4706302,0.35087687,0.46961498,0.33101094,0.32552135,0.29437897,0.31845337,0.3050494,0.36115685,0.32163772,0.3601608,0.33856153,0.3355432,0.3297484,0.24673842,0.24953711,0.2705118,0.28211498,0.24376667,0.2588297,0.2610005,0.27301762,0.2951601,0.26528007,25.330014293989915,4.6441175376751795,16.80892329319376,5.026961771132026,19.502784784355025,5.341413305915994,15.997327722545768,3.828368051283321,16.70546572349556,3.2802480648539665,18.95401652184752,4.473235707467307,53.5366931011507,3.744513836506484,0.076266415,0.07050169,Arabic English,arabic101.mp3
-182.49077,92.6764,76.87983,52.37403,49.834217,29.508219,30.75569,24.373692,11.831662,22.29029,-11.393529,17.013239,-19.998714,16.13006,8.736276,14.056574,-11.788992,10.525649,-8.245823,12.116243,1.9083457,12.76727,-5.4246097,8.744007,-7.046314,8.934765,-0.024904048,14.2451935,-0.017346613,10.134345,0.00369284,5.9224334,0.0040316214,4.5570865,-0.014014506,4.260445,-0.018103177,2.988128,-0.011075573,2.7398252,-0.013021441,2.5652723,-0.002644625,1.9295874,0.0031595372,2.3116841,0.0020498047,2.5973418,0.0028729916,1.6358476,0.017118655,1.5644721,-0.0905528,7.902824,-0.01882833,6.9986672,-0.015904708,4.049,-0.012121786,2.8178635,0.0045775115,2.444095,0.008587251,2.127378,0.0041197236,2.099971,0.00023519738,1.5576297,-0.0052057295,1.3508848,-0.0017192994,1.6036907,0.0030913146,1.6877747,-0.0037520179,1.1330531,-0.012690394,1.0178318,0.1610349958949097,0.1444600011361459,2202.0459166950895,1379.5690562330199,0.3053936,0.2816963,0.23491766,0.2473853,0.22942042,0.25212285,0.2079992,0.24000871,0.25316814,0.23136283,0.31384426,0.27260792,0.22594047,0.215742,0.30130467,0.24243233,0.57418436,0.38416213,0.50797826,0.31764218,0.47041076,0.3148452,0.39038563,0.29499704,21.201050677666522,4.4871412406384605,15.977006262223712,3.8600745604129028,19.160500044555175,4.4470574515223795,16.90788436745875,3.4695709030421122,19.222466052477824,3.931448998370526,20.028662202042945,3.6891858734571965,54.82452804576809,5.027176610502077,0.119671665,0.06727348,Arabic English,arabic102.mp3
-370.9373,122.9089,45.69332,81.88614,5.648794,45.59642,1.421445,40.66951,-19.900362,29.14664,-16.55842,24.931534,-4.161743,17.687891,-7.8053327,19.234274,-21.906654,19.673683,-8.496666,13.883556,-0.7959881,12.566379,-14.747473,16.001816,-20.277225,16.371311,-1.9504843e-07,21.458183,-3.0007453e-08,16.410484,-3.3758383e-08,9.212707,-1.8754656e-08,7.700497,-1.8754658e-09,6.012313,1.1252794e-08,4.6201324,-9.377329e-10,3.5981548,-5.626397e-09,3.7963188,0.0,3.4144986,-4.688664e-09,2.6376998,2.344332e-09,2.4028838,-5.626397e-09,3.0646243,5.626397e-09,2.9135556,-2.0442576e-07,11.344751,-6.56413e-09,9.534915,2.4381054e-08,5.6888404,-3.7509316e-09,3.781006,-2.344332e-09,3.5788317,4.688664e-09,2.8637083,6.0952634e-09,2.2784176,1.8754658e-09,2.3129709,3.7509316e-09,1.9845886,0.0,1.7890754,1.4065993e-09,1.713147,-8.439596e-09,1.8937271,7.0329964e-10,1.6774701,0.26227328770280234,0.20306523441164662,2577.4732283209682,1713.7302428545254,0.2147823,0.2480607,0.27186716,0.29103574,0.28241435,0.30470678,0.25333676,0.27834734,0.2350508,0.27540073,0.27871168,0.30551004,0.39275733,0.35272992,0.4894557,0.37811705,0.45469284,0.35189316,0.42825976,0.3779182,0.3812403,0.3840211,0.23934428,0.27051777,26.003603532132697,7.54545665563194,20.366611845224025,7.91467927275433,22.88014731726719,8.07889605230732,23.46841891408581,8.012343855853608,27.42186898615764,8.658732621572675,27.5758492323278,9.772146627515953,53.22420238616554,7.4437019816895384,0.04631706,0.044050988,Arabic English,arabic11.mp3
-348.8015,154.86363,43.40596,82.93505,-16.90742,52.3717,24.957586,43.740273,-17.52061,23.329264,-8.75047,25.55251,-6.5172324,22.857906,-11.730476,16.942892,-30.511045,24.777391,-1.2986819,17.160593,-8.167808,13.737897,-2.821459,12.6284075,-6.8423166,13.293847,-0.018080471,27.618423,0.012943945,16.499521,0.007834991,10.178099,-0.01391959,8.296151,0.009308071,4.6703815,-0.006333339,5.3088684,0.0009471401,4.381441,0.01039699,3.3212426,-0.014214842,4.552439,0.0021278013,2.9670372,0.012009274,2.7160065,-0.013539105,2.5446079,0.005569285,2.4693213,0.0052343663,13.468011,-0.00400462,8.986208,-0.0017322878,5.881222,0.003801875,3.9391365,-0.0030346962,2.7009127,0.0023246973,2.819147,-0.00053878984,2.5852807,-0.002862136,1.980788,0.0039225966,2.4399118,-0.0005206404,1.8661907,-0.0033404988,1.7180535,0.0037331954,1.614669,-0.0016371185,1.5388315,0.2574844852570565,0.1717278840451934,2450.5345629949093,1291.6232155571913,0.25416133,0.2874328,0.3074736,0.2738056,0.41573328,0.3339706,0.45788303,0.33211106,0.40766728,0.33114576,0.2930119,0.30048245,0.19073536,0.24396004,0.23645984,0.2815844,0.33526194,0.31887272,0.481786,0.36562556,0.42190084,0.34493998,0.24658045,0.27194074,22.289247037671196,6.355002157053498,16.371683274515927,4.738469105006861,23.392271432056344,6.959297786349981,21.354289346607086,6.673966165111268,26.190637481546307,7.2961764704527,28.08778589169653,8.329424578646915,50.91141064283393,5.2745996618778666,0.046027865,0.04572587,Arabic English,arabic12.mp3
-263.15863,108.96383,101.29529,57.55383,45.617825,28.056925,35.972157,24.736494,23.263992,18.173677,5.6803646,19.24574,8.957075,13.609491,1.0578552,13.338718,-0.61252826,11.453372,6.6734095,9.985634,-4.056645,10.685007,3.8259401,8.634717,0.26675007,9.419082,0.05108016,16.90645,0.06298109,11.886659,0.04211396,5.2955375,0.022099886,4.7712836,0.009441184,3.3996394,0.004105917,4.1070447,0.0033718755,2.743106,0.0037505983,2.577369,0.003558305,2.0298076,0.003473957,1.9592144,0.0032113313,2.0789788,0.0013001205,1.6516943,-0.0013269434,1.7748898,0.03709903,10.140846,0.04532757,7.5956264,0.02955249,3.521778,0.015017502,2.9283798,0.00632507,2.12372,0.002942926,2.6119988,0.002656865,1.8434657,0.0028515556,1.654387,0.0024620262,1.2545395,0.002370409,1.2391379,0.0023893237,1.3998027,0.0010588578,1.1594309,-0.0010302049,1.1722269,0.07583808697089947,0.10664115872744996,1372.4045526217644,1191.34496585471,0.38627484,0.31568852,0.35685813,0.29536617,0.35128295,0.2890169,0.37472135,0.30290487,0.41425064,0.30404294,0.4733065,0.2996837,0.573507,0.31306633,0.62860125,0.30098712,0.57214254,0.30171534,0.5109235,0.32258534,0.4583513,0.32500812,0.43226105,0.34838873,17.232328401764697,5.4489743207186,14.323129831090172,4.596285715325098,16.98101908545755,4.695224991838978,15.606197384579833,3.6683346921752156,16.29172368923319,2.893495696535446,17.153984334990447,3.1887962109457804,51.36101382177596,4.5977328220029925,0.094346374,0.07009434,Arabic English,arabic13.mp3
-328.55945,99.638794,62.36553,56.761917,10.935166,19.44643,17.549543,22.995916,2.0964553,14.885914,-21.188398,16.36938,-21.860588,17.744482,-4.1286325,9.241601,-17.322992,14.2734585,-12.987014,12.493046,-7.994767,9.2643585,-6.5878,8.71758,-4.429701,8.967431,-8.477105e-08,15.465529,-4.9865325e-09,10.286282,1.1219698e-08,3.8883278,6.544824e-09,3.8168669,-3.7398995e-09,2.866622,-1.2466331e-09,3.0269878,-1.2466331e-09,3.1564562,0.0,1.67427,-6.2331657e-10,2.3701484,-2.4932663e-09,1.978697,2.4932663e-09,1.5972942,-4.9865325e-09,1.5634878,-3.272412e-09,1.6287621,-1.18430144e-07,7.486537,-6.2331655e-09,5.5283265,-2.181608e-09,2.426036,-4.207387e-09,2.055802,-5.609849e-09,1.6229026,-9.349749e-10,1.6812598,4.363216e-09,1.7149907,-2.8049245e-09,1.0850555,6.2331657e-10,1.2121727,1.0128894e-09,1.1296408,3.1165828e-10,0.9782123,-2.181608e-09,0.96375066,-3.3503265e-09,1.0153862,0.18878931781045752,0.15510577454656496,2001.837686233763,1246.1263663998377,0.36617732,0.30598032,0.38087246,0.30608487,0.35248274,0.302559,0.32552782,0.31028333,0.3137662,0.30322412,0.31316206,0.2884013,0.35492605,0.30688486,0.40834874,0.30783698,0.5514577,0.35140306,0.51331085,0.35837772,0.41438285,0.32414782,0.37975946,0.317078,22.206265054694395,7.34445124371821,16.193049832064233,6.234079253364258,21.14669168694004,7.933632779729838,19.1033903773778,5.697994277408721,19.648518409399824,6.062521041868656,20.11563158712308,5.157653455808771,55.9389410440507,4.592077754567275,0.061086915,0.08161358,Arabic English,arabic14.mp3
-200.71744,77.9563,76.43224,48.253304,-2.814663,24.113308,29.900879,19.103806,-7.8325963,12.943194,1.1231859,13.885364,-20.62298,13.488769,0.9445897,12.001006,-14.108168,11.199642,-3.0836215,10.954029,-8.872372,8.74938,4.8518863,8.397969,-10.611163,8.881576,-5.2256127e-08,11.0040455,-9.798024e-09,10.492665,1.1431028e-08,4.7733226,-3.266008e-09,3.7950134,7.348518e-09,2.5634422,-5.715514e-09,2.8861117,6.532016e-09,2.4601872,-2.857757e-09,2.330415,-3.266008e-09,2.0550134,8.16502e-10,2.0533435,2.449506e-09,1.64028,-8.16502e-10,1.670195,1.633004e-09,1.5873734,-1.0206275e-07,6.065863,1.4697036e-08,6.4588127,-3.266008e-09,2.8615863,9.3897725e-09,2.3530252,-1.633004e-09,1.7073275,-1.224753e-09,1.8415549,5.715514e-09,1.5965648,-8.16502e-10,1.4574901,1.633004e-09,1.3922621,2.041255e-09,1.3406767,-3.4701335e-09,1.0975524,6.532016e-09,1.1148697,8.16502e-10,0.9471763,0.18825750481592465,0.136246794846695,2127.5443351589647,1087.653278210168,0.46916962,0.29867366,0.44908926,0.3071521,0.40129375,0.28366387,0.3758179,0.2867912,0.3557346,0.25995517,0.3880528,0.28288502,0.43113512,0.31126538,0.44384286,0.30308035,0.46946105,0.29562163,0.5225417,0.3179769,0.5833876,0.33889276,0.564317,0.33233532,22.054902631371124,5.810105558366776,13.589590244556792,4.385476605862223,16.868501402075694,5.0576299363103825,15.765795691972798,3.3070448448824474,17.673060361726908,3.6347299500010166,20.196635239830144,4.35453053831092,59.42470299660743,5.177099291936691,0.063115954,0.054014478,Arabic English,arabic15.mp3
